Q6384884,"Keith Peters","British physician"
Q6385114,"Keith Thomas","British historian"
Q6388362,"Ken Richards","Welsh rugby union and rugby league footballer"
Q6388417,"Ken Rowlands","British Boxer"
Q6388602,"Ken Thomas","British trade unionist"
Q6389658,"Llwyd ap Iwan",1862-1909
Q6391344,"Kenrick Harris","Welsh cricketer"
Q6393868,"Keri Davies","Welsh radio producer"
Q6393873,"Keri Jones","Welsh rugby union and rugby league footballer"
Q6396226,"Kevin Ellis","Welsh rugby union and rugby league footballer"
Q6398588,"Kezia Burrows","British actress"
Q63993767,"Dewi Griffiths","Welsh athlete and farmer"
Q6404453,"Kid Chaos","Rock guitarist"
Q64051587,"Mervyn Allen",(1909-1976)
Q6405352,"Kieran Crawford","Welsh rugby union player"
Q6414752,"Kira Geil","Austrian ice dancer"
Q6416168,"Kirsty Jones","Welsh professional kitesurfer"
Q6437879,"Kristian Bell","Welsh cricketer"
Q6437973,"Kristian Phillips","Welsh rugby union player"
Q6450928,"Kyffin Williams","Welsh landscape painter (1918-2006)"
Q6451479,"Kyle Tudge","Welsh cricketer"
Q646592,"Harold Day","British WWI flying ace"
Q6498889,"Laura Evans","Welsh actress"
Q6504240,"Lawrence Jones",businessman
Q6514983,"Lee Selby","Welsh boxer"
Q6519569,"Leigh Davies","Welsh rugby union player"
Q6519628,"Leigh Loveday","video game writer and designer"
Q6519732,"Leighton Andrews","Welsh Labour politician"
Q6519893,"Leila Megane","Welsh opera singer"
Q6521680,"Len Beynon","Welsh boxer"
Q6523015,"Lenny Woodard","Welsh rugby union and rugby league footballer"
Q6525150,"Leonard Brockington","Canadian lawyer and civil servant"
Q6525189,"Leonard Constance","Welsh rugby union footballer, and rugby league footballer and coach"
Q6525258,"Leonard Eastment","Australian politician"
Q6529155,"Les Anthony","Welsh rugby union and rugby league footballer"
Q65295002,"Tim Morgan","Welsh archaeologist"
Q65297132,"John Peter (Ioan Pedr)","Independent minister and college tutor, and Welsh scholar"
Q65297134,Mabon,"Welsh saint"
Q6530924,"Leslie Jenkins","Welsh cricketer (1898-1971)"
Q6532137,"Leszek Borysiewicz","Immunologist and vice-chancellor"
Q6534142,"Eleanor Mary Reid","British palaeobotanist (1860-1953)"
Q6535418,"Levi Gibbon","Welsh ballad-writer and singer"
Q6536139,"Lewes Roberts","Welsh merchant and writer"
Q6536435,"Lewis Cobden Thomas","Welsh rugby union player"
Q6536534,"Lewis Evans","Welsh mathematician"
Q6536535,"Lewis Evans","Welsh rugby union player"
Q6536746,"Lewis Jones","Welsh writer and political activist"
Q6536796,"Lewis Llewellyn","Welsh rugby union and rugby league footballer"
Q6536806,"Lewis Lougher","Welsh businessman and politician (1871-1955)"
Q6536889,"Lewis Mills","Welsh rugby union and rugby league footballer"
Q6536902,"Lewis Morris","Welsh poet in the English language (1833-1907)"
Q6536998,"Lewis Reece","Welsh rugby union and rugby league footballer"
Q6537000,"Lewis Rees","Welsh rugby union and rugby league footballer"
Q6552839,"Lindsay Whittle","British politician"
Q655506,"Mervyn Stockwood","former British Anglican bishop (1913-1995)"
Q6555628,"Lionel Emmitt","Welsh rugby league footballer"
Q6555769,"Lionel Rees","Royal Air Force officer and recipient of the Victoria Cross"
Q6557938,"Lisa Diveney",actress
Q6558184,"Lisa Lee Dark","Opera singer, actress"
Q65948591,"Agnes Davies","snooker player"
Q66108160,"Brennan Johnson","english-walisian soccer player"
Q66147583,"Guto Dafydd","Welsh poet and author"
Q661947,"John Davies","Welsh Anglican priest and scholar"
Q66310007,"Ifor Morris Thomas","British born Australian zoologist"
Q663216,"Matthew Henry","Theologian from Wales"
Q6660144,"Liz Fuller","Welsh Television presenter, actress, model and media personality"
Q6660196,"Liz Johnson","Paralympic swimmer"
Q6662036,"Llew Edwards","British boxer"
Q6662119,"Llewelyn Wyn Griffith","British writer"
Q6662167,"Llion Iwan","Welsh writer"
Q6662689,"Lloyd Peers","Welsh rugby union player"
Q6662812,"Lloyd White","Welsh rugby league footballer"
Q6662817,"Lloyd Williams","Welsh cricketer (1925-2007)"
Q66694580,"Nora M. Finn","wife of John Burke"
Q6674884,"Lonza Bowdler","Welsh rugby union player"
Q66841012,"Chloe Chivers","Welsh footballer"
Q66841084,"Ffion Morgan","Welsh footballer"
Q6685709,"Lou Reed","Wales rugby player"
Q6694139,"Lowri Tynan","British swimmer"
Q6695484,Trillo,"Welsh saint"
Q6702019,"Luke Hamilton","rugby player"
Q6708330,"Lyn James","Welsh-born Australian actress"
Q6708332,"Lyn Jones","Welsh rugby union footballer and coach"
Q6708718,"Lyndon Bateman","Welsh rugby union player"
Q6708735,"Lyndon Jones",cricketer
Q6708773,"Lyndsay Hugh Morgan","Welsh Senior RAF Warrant Officer"
Q6708817,"Lynette Davies","Welsh actress (1948-1993)"
Q6709072,"Lynn Howells","Welsh rugby union footballer and coach"
Q6709334,"Lynne Carol","British actress (1914-1990)"
Q6709399,"Lynne Neagle","Welsh politician and AM (born 1968)"
Q6728347,"Madoline Thomas","British actress (1890-1989)"
Q6735137,"Mai Jones","British songwriter"
Q6742252,"Malcolm Collins","Welsh boxer"
Q6742267,"Malcolm Davies","Welsh rugby union and rugby league footballer"
Q6742407,"Malcolm Johnson","British administrator"
Q6742570,"Malcolm Price","Welsh rugby union and rugby league footballer"
Q6742681,"Malcolm Vaughan","Welsh actor-singer (1929-2010)"
Q6742896,"Maldwyn James","Welsh rugby union player"
Q6743287,"Mali Harries","Welsh actress"
Q6746179,"Stephen Halden Beattie","Welsh recipient of the Victoria Cross"
Q674694,"Philip Repyngdon","Bishop of Lincoln"
Q675493,"Henry VII","King of England, 1485–1509"
Q6755417,"Marc Breeze","Welsh rugby union player"
Q6755651,"Marc Jones","Welsh rugby union player"
Q6755915,"Marc Thomas","Welsh rugby union player"
Q67577908,Myllin,"Welsh saint"
Q67584162,"Ronald Jones","football referee from Wales"
Q6758761,"Maredudd ap Ifan","Welsh royal"
Q6759606,"Margaret Lacey","British actress"
Q6759645,"Margaret Lindsay Williams","Welsh painter (1888-1960)"
Q67651447,"William Jones","Welsh farmer and printer"
Q676629,"Kenneth Griffith","Welsh actor (1921-2006)"
Q6766824,"Mark Brake","British academic"
Q6767281,"Mark Davies","Welsh cricketer (born 1959)"
Q6767282,"Mark Davies","Welsh cricketer (1969-)"
Q6767286,"Mark Davies","rugby player"
Q6767547,"Mark Evans","British theater and film actor, film director, folk singer, dancer and choreographer"
Q6768278,"Mark Jones","professional motocross rider, born 1979"
Q6768286,"Mark Jones","Welsh rugby union and rugby league footballer (1965-)"
Q6768584,"Mark Lewis","Welsh rugby union player, born 1982"
Q6768819,"Mark McJennett","Welsh rugby union and rugby league footballer"
Q6769267,"Mark Pilkington","professional golfer"
Q6769569,"Mark Salmon","British darts player"
Q6769678,"Mark Serwotka","Trade union leader"
Q6770200,"Mark Wallace","Welsh cricketer"
Q6770423,"Mark Wool","Welsh rugby union and rugby league footballer"
Q6775539,"Martin Glyn Murray","British actor"
Q6775622,"Martin Harley","British musician"
Q6777595,"Martyn Ashton","Welsh racing cyclist and team manager"
Q6777642,"Martyn Jones","British politician (born 1947)"
Q6777644,"Martyn Jones","British artist"
Q6777647,"Martyn Joseph","British singer"
Q6777655,"Martyn Lewis","Welsh television presenter"
Q6777660,"Martyn Madden","Welsh rugby union player"
Q6777683,"Martyn Thomas","Welsh rugby union footballer"
Q6777688,"Martyn Woodroffe","British swimmer, Olympic silver medallist"
Q6779297,"Mary Davies","Welsh opera singer"
Q6779879,"Mary Jane Innes","Brewery manager"
Q6780105,"Mary Lloyd","19th century Welsh sculptor who studied in Rome  (1819–1896)"
Q6780377,"Mary Morgan","Welsh murderer"
Q6786991,"Mathew Bevan","British computer hacker"
Q6788852,"Matt Johnson","Welsh TV presenter/host and personality"
Q6789197,"Matt Postle","Welsh racing cyclist"
Q6789223,"Matt Rees","British comedian"
Q6790325,"Matthew Compton","Welsh cricketer"
Q6790439,"Matthew Dwyer","Welsh rugby union player"
Q6790586,"Matthew Gravelle",actor
Q6790741,"Matthew Jarvis","Welsh rugby union player"
Q6790752,"Matthew Jones","British violist, violinist and composer"
Q6791026,"Matthew Nuthall","Welsh rugby union player"
Q6791076,"Matthew Pewtner","Welsh rugby union player"
Q6791147,"Matthew Robinson","rugby player (born 1973)"
Q67921919,"Tôpher Mills","poet and publisher"
Q6792322,"Maudie Edwards","British actress and singer (1906-1991)"
Q6792674,"Maureen Evans","Welsh singer"
Q6793161,"Maurice Griffith","British bishop"
Q6793398,"Maurice Orbach","British politician (1902-1979)"
Q679417,"Dafydd Gam","Welsh noble"
Q6795965,"Maxine Evans","Welsh actress"
Q6802996,"Me One","Singer, songwriter, producer"
Q6804706,Mechell,"Welsh saint"
Q6805202,"Meddy Ford","British model"
Q680538,Teilo,"Welsh bishop and saint"
Q6807980,"Meg Elis","Welsh author and translator"
Q6809953,"Meic Stephens","literary editor"
Q6810308,"Meirion Pennar","British writer and academic"
Q6810830,"Mel Rosser","Welsh rugby union and rugby league footballer"
Q6811342,"Melanie Roberts","British artistic gymnast"
Q6811374,"Melanie Walters","Welsh actress"
Q6811901,"Melbourne Tierney","Welsh rugby league footballer"
Q6813870,"Melville De Lloyd","Welsh rugby union and rugby league footballer"
Q681560,"David Llewellyn","professional golfer"
Q6817169,"Menna Gallie","British writer"
Q6818922,"Meredith Edwards","actor (1917-1999)"
Q6819009,"Meredydd Evans","Welsh folk-music singer, collector and historian. He was also a broadcaster and political activist"
Q6819012,"Meredydd Hughes","Welsh chief constable working in England"
Q6820496,"Merryl Wyn Davies","Welsh Muslim scholar"
Q6820867,"Mervyn Bennett","Welsh lightweight boxer"
Q6820875,"Mervyn Burtch","Welsh composer"
Q6820908,"Mervyn Hill","cricketer (1902-1948)"
Q6821110,"Mesac Thomas","Bishop of Goulburn"
Q6828351,"Michael Baer","Welsh cricketer"
Q6830117,"Michael Elwyn","Welsh actor"
Q6830845,"Michael Gustavius Payne",artist
Q6833053,"Michael Newbold","Welsh cricketer"
Q6833756,"Michael Raven",Musician/Writer
Q6833845,"Michael Richards","British swimmer, Olympic athlete, Commonwealth Games gold medallist"
Q6834952,"Michael Tremellen",cricketer
Q6838178,"Mick Flynn","British Army officer"
Q6838640,"Mickey Gee","British musician"
Q6846242,"Mike Cann","Welsh cricketer"
Q6846689,"Mike Elliott","Welsh rugby union and rugby league footballer"
Q6847105,"Mike Gwilym","British actor"
Q6847187,"Mike Hedges","Member of the National Assembly for Wales (born 1956)"
Q6847395,"Mike Jenkins","British poet"
Q6847692,"Mike Llewellyn","Welsh cricketer"
Q6848254,"Mike O'Shea","Welsh cricketer"
Q6848419,"Mike Poole","Welsh rugby union player"
Q6848445,"Mike Powell",cricketer
Q6849198,"Mike Walker","tennis player"
Q6849220,"Mike Watkins","Welsh rugby union player"
Q6849355,"Mike Young","Welsh television producer"
Q6851560,"Miles Thomas","Welsh businessman from Wrexham (1897-1980)"
Q6860747,"Milsom Rees","British doctor"
Q6860753,"Milson Hunt","Welsh rugby league footballer"
Q6890185,"Elizabeth Mary Jones","Welsh writer, called Moelona"
Q6890208,"Moelwyn Merchant","academic, novelist, sculptor, poet and Anglican priest"
Q6896659,"Molly Parkin","British artist"
Q690597,"David Jacobs","British athlete"
Q6906709,"Monty Lewis",artist
Q6911506,"Morfydd Llwyn Owen","Welsh opera singer and composer"
Q6911577,"Morgan Allen","Welsh rugby player"
Q6911580,"Morgan B. Williams","American politician"
Q6911751,"Morgan Lloyd","British politician"
Q6911815,"Morgan Phillips","Welsh General Secretary of the British Labour Party"
Q691388,"Huw Irranca-Davies","Welsh politician and AM (born 1963)"
Q6915789,"Moses Griffith","Welsh draughtsman, engraver and water colourist"
Q6917024,"Mostyn Thomas","Welsh opera singer"
Q6947457,"Myfanwy Talog","Welsh actress (1944-1995)"
Q6948163,"John Jones","Welsh writer and antiquarian (Myrddin Fardd)"
Q6948612,"Myrtle Devenish","film actor (1913-2007)"
Q694996,"Anne Main","UK politician (born 1957)"
Q6962803,"Nancy Lee","Canadian writer"
Q6964248,"Nansi Richards","Welsh harpist"
Q6968475,"Natasha Marsh","Welsh soprano"
Q6968486,"Natasha Perdue","British weightlifter"
Q6968916,"Nathan Bonner-Evans","Welsh rugby union player"
Q6968940,"Nathan Buck","rugby player"
Q6969314,"Nathan Rogers","Welsh landowner"
Q6969436,"Nathan Wyburn","Welsh Artist"
Q6986019,"Ned Jenkins","Welsh rugby union player"
Q6988674,"Neil Haddock","British boxer"
Q6989019,"Neil McPherson","Welsh rugby union player"
Q6989128,"Neil Patel","Scenic designer"
Q6997045,"Nerys Evans","British politician (born 1980)"
Q7002124,"Noah Morgan Mason","American politician"
Q7023504,"Nia Roberts","Welsh actress"
Q7024261,"Nic Cudd","Welsh rugby union player"
Q7024310,"Nic Parry","Welsh judge"
Q7025356,"Nicholas Evans","British artist (1907-2004)"
Q7025584,"Nicholas Hunt","British Royal Navy admiral"
Q7025678,"Nicholas Jones","British journalist, writer and political commentator"
Q7027494,"Nick Macleod","Welsh rugby union player"
Q7027777,"Nick Ramsay","Welsh politician and Assembly Member"
Q7028008,"Nick Swetman",cricketer
Q7028665,"Nicky Piper","British boxer"
Q7031408,"Niel Morgan","Welsh cricketer (1904-1985)"
Q7032604,"Nigel Pulsford","British musician"
Q7039571,"Nipper Pat Daly","British boxer"
Q7047187,"Noel Richards","British singer"
Q7047219,"Noel Sullivan","Welsh singer and actor"
Q7047242,"Noel Trigg","British Boxer"
Q7051658,"Norma Curtis","Welsh novelist writing in English"
Q7052330,"Norman Harris","Welsh rugby union and rugby league footballer"
Q7052397,"Norman Jacob","Welsh cricketer (1901-1970)"
Q7052739,"Norman Riches","cricketer (1883-1975)"
Q7071254,"Nyree Kindred","Paralympic swimmer"
Q707734,"Bernard Fox","Welsh actor (1927-2016)"
Q7087219,"Olive Wheeler","British academic"
Q7087625,"Oliver James","Welsh cricketer"
Q7087707,"Oliver Morris","Welsh rugby union and rugby league footballer"
Q7087761,"Oliver Piper","rugby player"
Q7087873,"Oliver Thornton","British actor"
Q7088359,"Ollie Olds","Welsh rugby league footballer"
Q7094141,"Onllwyn Brace","Welsh rugby union player"
Q709999,"Arthur Herbert","British diplomat (1855-1921)"
Q7106669,"Osi Rhys Osmond","Welsh painter (1942-2015)"
Q7114467,"Owen Edwards","Welsh ice dancer"
Q7114472,"Owen Evans","Welsh rugby union player"
Q7114528,"Owen John Thomas","Welsh politician"
Q7114543,"Owen Lewis","Welsh bishop of Cassano all'Jonio and Vatican diplomat"
Q7114657,"Owen Thomas","Welsh darts player"
Q7114698,"Owen Williams","Welsh rugby union player, born 1991"
Q7114700,"Owen Williams","Welsh rugby union footballer (1992-)"
Q7128230,"Palmer Griffiths","Welsh rugby union and rugby league footballer"
Q7143662,"Pat Leach","Welsh rugby union player"
Q7143923,"Pat Pocock","Welsh born, English Test and County cricketer (born 1946)"
Q7144071,"Pat Thomas","British boxer"
Q714480,"Henry Stafford, 2nd Duke of Buckingham","English noble, born in Wales (1455-1483)"
Q7145521,"Patricia Clarke","British biochemist"
Q7145670,"Patricia Kern","Welsh opera singer"
Q7146558,"Patrick Gibbs","British pilot and journalist"
Q7147445,"Patrick Palmer","Welsh rugby union player"
Q7149015,"Paul Affleck","professional golfer"
Q7149356,"Paul Beynon-Davies","British scholar"
Q7149548,"Paul Brown","British journalist, born 1950"
Q714976,"Leon Pownall","British actor"
Q7149821,"Paul Child","British singer"
Q7150146,"Paul Davies","Welsh politician (born 1969)"
Q7150149,"Paul Davies","British table tennis player"
Q7150515,"Paul Erickson","British writer"
Q7150527,"Paul Esposti","Welsh racing cyclist"
Q7150980,"Paul Grant","British bodybuilder"
Q7151017,"Paul Griffiths","British theatre director and writer"
Q7152438,"Paul Mealor","Welsh composer"
Q7152599,"Paul Morgan","Welsh rugby union footballer and coach, rugby league footballer, and cricketer"
Q7154096,"Paul Turner","Welsh rugby union footballer and coach"
Q7154348,"Paul Whitsun-Jones","Film & TV actor (1923-1974)"
Q7154476,"Paul Woods","Welsh rugby union footballer and coach, and rugby league footballer"
Q7155038,"Pauline Jarman","Welsh politician (born 1945)"
Q7155074,"Pauline Peters","Welsh actress"
Q7167325,"Percy Herbert","British Army general"
Q7167493,"Percy Morgan","Welsh cricketer (1905-1983)"
Q7167764,"Peredur Lynch","Welsh academic and poet"
Q7172726,"Peter Baynham","Welsh screenwriter and performer"
Q7173568,"Peter Davies","British scientist"
Q7173980,"Peter Finch","Welsh writer"
Q7174079,"Peter Fraser","British photographer"
Q7174185,"Peter Gatehouse","English cricketer"
Q7174237,"Peter Gill","British theatre director and writer"
Q7174347,"Peter Gray","British chemist"
Q7174549,"Peter Harris","British boxer"
Q7175376,"Peter Law","Welsh politician (1948-2006)"
Q7175499,"Peter Locke","Welsh darts player"
Q7175951,"Peter Morris","American baseball player"
Q7176650,"Peter Rogers","Welsh politician"
Q7176685,"Peter Rowe","Welsh rugby union and rugby league footballer"
Q7176932,"Peter Sidoli","Welsh rugby union player"
Q7177126,"Peter Stimpson","Welsh cricketer"
Q7177186,"Peter Sunman","Welsh musician"
Q7177481,"Peter Vaughan","Welsh chief constable"
Q717787,"Beau Nash","leader of fashion from Wales"
Q7179526,"Peveril William-Powlett","Royal Navy Admiral and rugby union player (1898-1985)"
Q7181840,"Phil Dollman","Welsh rugby union player"
Q7181889,"Phil Ford","Welsh rugby union and rugby league footballer"
Q7182004,"Phil Hill","Welsh ice hockey forward"
Q7182043,"Phil John","Welsh rugby union player (1981-)"
Q7182080,"Phil Kerslake","New Zealand broadcaster"
Q7182292,"Phil Price","Welsh rugby union player"
Q7182365,"Phil Ryan","Welsh musician and composer"
Q7182555,"Phil Williams","Welsh politician (1939-2003)"
Q7183190,"Philip Baxter","British chemical engineer"
Q7183455,"Philip Donoghue","British paleontologist"
Q7183607,"Philip George",cricketer
Q7184189,"Philip Palmer","British author"
Q7184350,"Philip Sayce","Canadian guitarist"
Q7184351,"Philip Sayer","British actor (1946-1989)"
Q7184597,"Philip Yorke","Welsh historian of Erddig"
Q7185718,"Phillip Joll","Welsh operatic baritone"
Q7186356,"Phineas John","British boxer"
Q7186662,"Phoebe Davies","Welsh-born American actress (1864-1912)"
Q719792,"Walter Devereux, 1st Earl of Essex","English noble and general"
Q7199739,"Pixie O'Harris","Australian artist (1903-1991)"
Q720787,"David Langford","British writer"
Q72097669,"Geraint Vaughan Jones","Welsh author"
Q721005,Asaph,"Welsh bishop and saint"
Q721273,"Richard Ian Cox","Canadian actor"
Q722001,"Luke Evans","Welsh actor"
Q7228389,"Ponty Davies","Welsh rugby league footballer"
Q7245941,"Pritchard Hughes","British bishop"
Q725104,"Charles Kemble","Welsh actor"
Q7253236,"Pryce Pryce-Jones","British politician born in Wales"
Q7253279,"Prys Morgan",historian
Q725365,"Lynn Davies","Welsh long jumper and 1964 Olympic champion"
Q725572,"Bradley Dredge","professional golfer"
Q725745,"R. S. Thomas","Welsh poet"
Q726243,"Edward Stafford, 3rd Duke of Buckingham","English noble, born in Wales"
Q72699024,"Canthrig Bwt",
Q7270709,"Queenie Thomas","British actress (1898-1977)"
Q7273649,"R. Geraint Gruffydd","Welsh academic"
Q727410,"Siân James","British politician (born 1959)"
Q7274124,"R. Williams Parry","Welsh poet"
Q7279216,"Rachel Davies","Welsh-born evangelical preacher"
Q7279427,"Rachel Thomas","Welsh actress (1905-1995)"
Q72834951,"Beti’r Baten","gwrach neu 'wraig hysbys' chwedlonol a oedd yn byw mewn coeden rhwng Conwy a Betws-y-Coed"
Q7286596,"Rakesh Aggarwal","British businessman"
Q7287329,"Ralph Champneys Williams","Lieutenant Governor of Newfoundland"
Q7287596,"Ralph Hancock","British landscape gardener"
Q7293962,"Raphael Gray","British computer criminal"
Q7297975,"Ray Powell","British politician (1928-2001)"
Q7298301,"Ray Williams","Welsh weightlifter"
Q7299161,"Raymond Steed","British merchant marine"
Q7299231,"Raymond Wilkins","Welsh rugby union and rugby league footballer"
Q7301733,"Rebecca Evans","Welsh politician (born 1976)"
Q7301813,"Rebecca Llewellyn","British tennis player"
Q7306435,"Redvers Sangoe","British Boxer"
Q730648,"Steve Upton","British musician"
Q730668,"Lewys Glyn Cothi","Welsh writer"
Q7306965,"Rees G. Richards","Pennsylvania Soldier, Ohio politician"
Q7306966,"Rees Davies","Welsh historian"
Q7306968,"Rees Howell Gronow","British politician"
Q7306969,"Rees Howells","British missionary"
Q7306970,"Rees Richards","Welsh rugby union and rugby league footballer"
Q7307734,"Reg Blakemore","Welsh rugby union and rugby league footballer"
Q7307740,"Reg Braddick","Welsh racing cyclist"
Q7307870,"Reg Thomas","British middle-distance runner"
Q7308736,"Reginald Hathway","Welsh rugby union and rugby league footballer"
Q7308838,"Reginald Phillips","English cricketer (1897-1963)"
Q7319298,"Rex Richards","Welsh rugby union player (1934-1989)"
Q7320505,"Rhian Pugh","British artistic gymnast"
Q7320826,"Rhod Gilbert","Welsh comedian"
Q7321237,"Rhodri Davies","British musician"
Q7321238,"Rhodri Evans",cricketer
Q7321241,"Rhodri Gomer-Davies","Welsh Rugby Union Player"
Q7321244,"Rhodri McAtee","Welsh rugby union player"
Q7321247,"Rhodri Owen","British broadcaster"
Q7321251,"Rhodri Williams","Welsh sports journalist and television presenter"
Q7321763,"Rhys Buckley","rugby player"
Q7321776,"Rhys Evans","Welsh rugby union and rugby league footballer"
Q7321781,"Rhys Gethin","standard bearer and a leading general in the successful revolt of Owain Glyndŵr"
Q7321793,"Rhys Hughes","Welsh writer"
Q7321794,"Rhys Jenkins","Welsh rugby union player"
Q7321797,"Rhys Jones","Welsh Paralympian athlete"
Q7321799,"Rhys Jones","Welsh rugby union player"
Q7321814,"Rhys Meirion","Welsh opera singer"
Q7321830,"Rhys Prichard","British writer"
Q7321847,"Rhys Williams","Welsh rugby union and rugby league footballer"
Q7321848,"Rhys Williams","Welsh rugby union centres"
Q7321849,"Rhys Williams","Welsh rugby union player (1990-)"
Q7321857,"Rhys ap Rhydderch","Welsh king"
Q7321859,"Rhys ap Thomas","Soldier and landholder who rose to prominence during the Wars of the Roses"
Q7323907,"Richard Bagnall-Oakeley","British archer"
Q7324011,"Richard Bates","United States Navy Medal of Honor recipient"
Q7325106,"Richard Davies","MP, born 1818"
Q7325108,"Richard Davies","Welsh poet (Mynyddog), born 1833"
Q7325109,"Richard Davies","actor (1926-2015)"
Q7325458,"Richard Edwards","Australian politician"
Q7325461,"Richard Edwards","British politician (born 1956)"
Q7325487,"Richard Ellis","British librarian"
Q7325812,"Richard Fussell","Welsh rugby union player"
Q7326022,"Richard Grant",cricketer
Q7326127,"Richard Gwyn","British writer"
Q7326280,"Richard Harrington","Welsh actor"
Q7326420,"Richard Herbert","British darts player"
Q7326900,"Richard Johnson","Welsh pro golfer, born 1972"
Q7327422,"Richard Llwyd","Welsh poet"
Q7327515,"Richard Lynch","British actor"
Q7327948,"Richard Mullock","British rugby union administrator and referee"
Q7327965,"Richard Mustoe","Welsh rugby union player"
Q7327975,"Richard Mylan","British actor"
Q7328258,"Richard Page","British politician (born 1941)"
Q7328276,"Richard Parkhouse","English cricketer (1910-1984)"
Q7328285,"Richard Parry-Jones","Welsh car engineer and designer, executive at Ford"
Q7329060,"Richard Singleton","British racing driver"
Q7329076,"Richard Skone",cricketer
Q7329117,"Richard Smith","rugby player"
Q7329418,"Richard Tecwyn Williams","Welsh biochemist"
Q7329554,"Richard Trevor","Welsh landowner, soldier and politician (1558-1638)"
Q7329960,"Richard Wiegold","Welsh opera singer"
Q7329992,"Richard William Leslie Wain","Recipient of the Victoria Cross"
Q7330560,"Richie Pugh","Welsh rugby union player"
Q7330585,"Richie Thomas","Welsh cricketer"
Q7331266,"Rick Brookes",cartoonist
Q7332065,"Ricky Evans","Welsh rugby union player"
Q7339945,"Rob Appleyard","Welsh rugby union footballer and coach"
Q7340978,"Robbie Regan","British boxer"
Q7342182,"Robert Blythe","Welsh actor"
Q7342553,"Robert Bye","Recipient of the Victoria Cross"
Q7342978,"Robert Clift","field hockey player"
Q7343389,"Robert Daniell","American politician"
Q7343531,"Robert Dickie","British boxer"
Q7344034,"Robert Ellis","Welsh clergyman, born 1898"
Q7345014,"Robert Gwilym","British actor"
Q7345142,"Robert Hadley","English cricketer"
Q7345683,"Robert Hughes","British darts player"
Q7346107,"Robert Jermain Thomas","missionary pioneer"
Q7346178,"Robert Jones","British orthopaedic surgeon"
Q7346876,"Robert Lewis-Lloyd","British rower"
Q7346880,"Robert Lewis","Welsh rugby union player"
Q7347000,"Robert Lougher","Welsh politician"
Q7347323,"Robert Mansell","English admiral of the Royal Navy and politician"
Q7347624,"Robert Mends","Welsh officer in the Royal Navy"
Q7347796,"Robert Morgan","Welsh-Australian actor"
Q7348182,"Robert Owen","Welsh theologian and antiquarian"
Q7348841,"Robert Perkins","Welsh actor and director"
Q7349208,"Robert Rees","Welsh singer, called Eos Morlais"
Q7349408,"Robert Rowthorn","British economist"
Q7349760,"Robert Shields","Recipient of the Victoria Cross"
Q7350341,"Robert Thomas","British artist"
Q7350590,"Robert Vaughn","American businessman, born in Wales"
Q7350851,"Robert Wanbon","Welsh rugby union and rugby league footballer"
Q7351086,"Robert William Griffiths","British businessman"
Q7351121,"Robert Williams","Welsh poet, born 1830"
Q7352873,"Robin Williams","British rowing coach"
Q7356419,"Rod de'Ath","Welsh musician"
Q7356486,"Roddy Hughes","British actor (1891-1970)"
Q7357782,"Roger Addison","rugby union player"
Q7358860,"Roger Royle","British broadcaster"
Q7359053,"Roger Vaughan of Bredwardine","Welsh gentleman"
Q7360342,"Roland Mathias","Welsh poet and writer"
Q736160,"Kim Howells","British politician (born 1946)"
Q7363680,"Ron Davies","British photographer"
Q7363838,"Ron Gostick","Canadian politician"
Q7363996,"Ronald Jones","British sprinter"
Q7364707,"Ronald Burge","Welsh physicist"
Q7364729,"Ronald Cass","British writer"
Q7364983,"Ronald James","Welsh rugby union and rugby league footballer"
Q7365062,"Ronald Lewis","British actor (1928-1982)"
Q7365892,"Ronnie James","British boxer"
Q7366940,"Rory Pitman","Welsh rugby union and rugby league footballer"
Q7366962,"Rory Watts-Jones","Welsh rugby union player"
Q7368892,"Rosie Harris","British writer"
Q7368928,"Rosie Thomas","Welsh journalist and novelist"
Q7369277,"Ross Davies","Welsh rugby union player"
Q7369288,"Ross Divorty","Welsh rugby league footballer"
Q7369438,"Ross Johnson","Welsh rugby union player"
Q7369441,"Ross Jones","Welsh rugby union player"
Q7369697,"Ross Wardle","Welsh rugby union player"
Q7369797,"Rosser Evans","Welsh rugby union player"
Q7372140,"Rowland Heylyn","Welsh merchant"
Q7372176,"Rowland Prichard","Welsh musician, composer"
Q7372206,"Rowland Williams","Welsh poet and minister"
Q737268,"Saint Armel","Medieval Welsh-Breton saint"
Q7372734,"Roy Davies","Welsh cricketer (1928-2013)"
Q7373216,"Roy Noble","British broadcaster"
Q7381697,"Russell Morris","Professor of Structural and Materials Chemistry"
Q7381750,"Russell Robins","Welsh rugby union and rugby league footballer"
Q7383058,"Ruth Jones","Welsh actress, script-writer and producer"
Q7384568,"Ryan Sylvester",cricketer
Q7384624,"Ryan Watkins","Welsh cricketer"
Q7387421,"Stephen Dewar Holden","Welsh engineer"
Q7387725,"S. O. Davies","British politician (1886-1972)"
Q7401077,"Saint Caradoc","Welsh hermit and harpist"
Q7401174,"Saint Derfel","6th-century Welsh Christian monk"
Q7401235,"Saint Flewyn","6c. patron saint of St Fflewin's Church, Llanfflewin, in Anglesey, Wales"
Q7402207,Tegai,"6c Welsh saint"
Q7407397,"Sam Davies","Welsh cricketer"
Q7407611,"Sam Hobbs","Welsh rugby union player"
Q7407791,"Sam Lewis","Welsh rugby union player"
Q7407801,"Sam Livesey","British actor (1873-1936)"
Q7408625,"Samantha Bowen","British volleyball player"
