Q100154,"Emmy Klieneberger-Nobel","German Jewish microbiologist"
Q889250,"John Kinley Tener","American politician (1863-1946)"
Q889489,"Leonard Meredith","English racing cyclist"
Q890109,"Thomas Slingsby Duncombe","British politician (1796-1861)"
Q890220,"Benjamin Babbage","Australian engineer, explorer and politician (1815-1878)"
Q890698,"Clarence Bicknell","British botanist and archaeologist (1842-1918)"
Q89188,"Slobodan Jovanović","Serbian jurist, historian, sociologist, journalist, and literary critic (1869-1958)"
Q89199,"Wolfgang Suschitzky","Austrian cinematographer"
Q89289,"Berthold Paul Wiesner","Austrian Jewish physiologist"
Q89433,"Geoffrey Elton",historian
Q895778,"Richard Collins, Baron Collins","British judge (1842-1911)"
Q895823,"Horace Davey, Baron Davey","English barrister, judge and Liberal politician (1833-1907)"
Q895929,"Boyd Neel","British conductor"
Q899742,"Richard Laming","British chemist"
Q899772,"H. Christopher Longuet-Higgins","British chemist and psychologist"
Q900947,"James Smithson","British chemist"
Q901039,"Henry Bence Jones","English physician and chemist"
Q901118,"John Hall Gladstone","British chemist"
Q901532,"John Bennet Lawes","English scientist who invented synthetic fertilizer"
Q902340,"Edward Charles Howard","British chemist"
Q90238,"George Meredith","British novelist and poet of the Victorian era"
Q902388,"William Cruickshank","British chemist and surgeon"
Q902546,"Thomas Thomson","Scottish chemist"
Q902991,"James Marsh","British chemist who invented the Marsh test for detecting arsenic"
Q903208,"Frederick Guthrie","British physicist"
Q903374,"Thomas Anderson",chemist
Q903516,"George Crabbe","English poet, surgeon, and clergyman"
Q903994,"William A. Tilden","British chemist"
Q904004,"Denis Howell, Baron Howell","British politician (1923-1998)"
Q904681,"William Worrall Mayo","English born medical doctor and chemist (1819-1911)"
Q905454,"John Stuart Anderson","British and Australian scientist"
Q905875,"Dionysius Lardner","Irish science writer"
Q905891,"James Cumming","British chemist"
Q906314,"John Stenhouse","Scottish chemist"
Q907184,"Charles Romley Alder Wright","English chemistry and physics researcher"
Q907606,"Henry Deacon","British chemist and businessman"
Q908116,"William Hallowes Miller","Welsh mineralogist & crystallographer"
Q908230,"George Fordyce","British chemist"
Q908564,"Don Welsh","English footballer and manager (1911-1990)"
Q908567,"Martin Lowry","English chemist"
Q908655,"John Mercer","English chemist and fabric printer"
Q909046,"William Odling","British chemist"
Q909223,"Dorothy Wilde","British writer"
Q909266,"John Percy","London art collector and metallurgist (1817-1889)"
Q909857,"James Walker","chemist from Scotland"
Q910728,"Dudley Lloyd-Evans","British flying ace"
Q910933,"Mountstuart Elphinstone","Governor of Bombay, Scottish historian (1779-1859)"
Q911788,"Brian B. Shefton","British art historian and archaeologist"
Q911960,"Brian Burnett","British air chief marshal and tennis player"
Q912647,"Brian G. W. Manning","British astronomer"
Q912687,"James Kirkup","British writer"
Q913031,"Brian Rust","English jazz discographer"
Q913203,"Brian Walton","British bishop"
Q913380,"Fredegond Shove","English poet"
Q91393,"Henry John William Bentinck","British courtier"
Q915031,"James Beattie","Scottish poet, moralist and philosopher"
Q915929,"Matt Gillies","Scottish footballer and manager (1921-1998)"
Q916076,"Brigitte Askonas","British immunologist"
Q917014,"Lancelot Holland","Royal Navy admiral (1887-1941)"
Q918259,"Wyndham Halswelle","British athlete"
Q918414,"John Ogilvie","Scottish Jesuit saint and martyr"
Q918587,"William Froude","British engineer and naval architect"
Q918605,"Herbert James Draper","British painter (1863-1920)"
Q918668,"Guy Burgess","British-born radio producer, intelligence and Foreign Office officer and double agent"
Q918672,"John Kerr","Scottish physicist and pioneer in the field of electro-optics"
Q918958,"John Leslie","British mathematician and physicist (1766–1832)"
Q918966,"Nahum Sokolow","Hebrew journalist, editor, essayist, and political leader (1859-1936)"
Q919058,"Edward Adrian Wilson","English polar explorer (1872-1912)"
Q919145,"Verney Lovett Cameron","traveller from England"
Q919187,"Edgar Bainton","British composer"
Q919277,"William Hope Hodgson","British writer"
Q919338,"John Beaufort, 1st Duke of Somerset","Duke of Somerset"
Q919550,"Dennis Brain","British virtuoso horn player"
Q919640,"Henry Francis Herbert Thompson","British egyptologist"
Q919862,"William Bullock","Naturalist and collector from England"
Q919976,"Edward Turner","British motorcycle designer"
Q920038,"Vic Buckingham","English footballer and manager (1915-1995)"
Q920078,"Jonathan Hornblower","Steam power pioneer"
Q920364,"George Rodger","British photojournalist (1908-1995)"
Q920513,"Quentin Crisp","English writer, humorist and actor"
Q920583,"James Mackenzie","Scottish cardiologist"
Q920622,"Sir George Trevelyan, 4th Baronet","British baronet (1906-1996)"
Q920730,"Joseph Woods","English architect, botanist and geologist (1776-1864)"
Q92081,"Heinrich August Luyken","German British author and Esperantist"
Q920924,"Leslie Ward","British cartoonist (1851-1922)"
Q921262,"Francis King","British novelist, writer and poet"
Q921311,"Albert Oldman","British super heavyweight boxer"
Q921502,"William Chandler Roberts-Austen","British metallurgist"
Q921758,"William Alexander Ayton","British alchemist"
Q921869,"William Wallace","Scottish mathematician and astronomer"
Q921945,"John Williams","English actor (1903-1983)"
Q922208,"Hudson Lowe","British Army general"
Q922318,"Henry Somerset, 7th Duke of Beaufort","British politician (1792-1853)"
Q922483,"William Orpen","Irish artist (1878-1931)"
Q922484,"Alan Moorehead","Australian journalist"
Q922563,"Albert Hastings Markham","British explorer and Royal Navy officer"
Q923032,"John Gardner Wilkinson","English egyptologist"
Q923325,"Iris du Pré",musician
Q923351,"Donald Hewlett","British actor (1920-2011)"
Q923409,"Nat Gonella","British musician"
Q923647,"Al Bowlly","Mozambican-born South African-British vocalist and jazz guitarist"
Q923806,"William Massey","Prime Minister of New Zealand (1856-1925)"
Q924074,"Angus McBean","British photographer"
Q924081,"Michael Logue","Catholic cardinal"
Q924163,"Simon Sudbury","Bishop of London; Archbishop of Canterbury; Lord Chancellor (1317-1381)"
Q924556,"John McConnell Black","British botanist (1855-1951)"
Q926850,"Sidney Jones","British composer"
Q926893,"John Haire, Baron Haire of Whiteabbey","British politician (1908-1966)"
Q927592,"W. D. O. Greig","English footballer (1851-1942)"
Q928195,"John Smyth","English minister"
Q929499,"William Fairbairn","Scottish civil engineer, structural engineer and shipbuilder"
Q929691,"Rupert Charles Barneby","British born American botanist (1911-2000)"
Q930127,"George Bridgetower","British musician"
Q930185,"William Crawford Williamson","English naturalist and palaeobotanist (1816-1895)"
Q930203,"William Augustus Adam","British politician (1865-1940)"
Q930339,"Eva Morris","British supercentenarian"
Q930407,"Thomas Turton","British mathematician and clergyman (1780-1864)"
Q930525,"Thomas Kirk","New Zealand botanist and horticulturist (1828-1898)"
Q930648,"Lionel Dunsterville","British Army general"
Q930691,"Peter Vaughan","English actor (1923-2016)"
Q930953,"Arthur Kinnaird, 11th Lord Kinnaird","Scottish footballer"
Q931097,"Kenneth Hunt","English footballer (1884-1949)"
Q93119,"Donald Michie","British artificial intelligence researcher"
Q93122,"Christopher Strachey","British computer scientist"
Q931311,"Christopher Zeeman","British mathematician"
Q931384,"Isaac Milner","British mathematician"
Q931448,"David Collins","British colonial administrator (1756-1810)"
Q931484,"Joshua King","British mathematician"
Q931489,"Ronald Eric Bishop","British aerospace engineer"
Q931878,"Percy Gilchrist","British chemist"
Q932026,"Appleby Matthews","British musician"
Q932330,"John Thomson","Scottish footballer (1909-1931)"
Q932471,"Charles Lapworth","English geologist"
Q932573,"William Lithgow","British explorer"
Q932702,"Roland Trimen","British entomologist"
Q932950,"Bernard Barham Woodward","British naturalist"
Q93343,"Percy Bysshe Shelley","English Romantic poet"
Q933545,"Thomas Wedgwood","British photographic experimentor"
Q933689,"Charles Fox Bennett","merchant and politician (1793-1883)"
Q933942,"Hubert Heron","English footballer (1852-1914)"
Q93400,"A. D. Walsh","British chemist"
Q934129,"George Patterson","English football manager (1887-1955)"
Q934270,"Dennis Price","British actor (1915-1973)"
Q934428,"Isaac Roberts","Welsh astronomer"
Q934653,"Peter Chalmers Mitchell","British zoologist"
Q934827,"Sir Fenton Aylmer, 13th Baronet","Recipient of the Victoria Cross"
Q935055,"Jimmy Michael","Welsh racing cyclist"
Q935084,"John Mill","British theologian"
Q935119,"James Fitzmaurice-Kelly","British hispanist"
Q935532,"Ran Laurie","British rower"
Q93594,"Charles Chetwynd-Talbot, 2nd Earl Talbot","British politician (1777-1849)"
Q936470,"Alfred Ewing","British physicist and engineer (1855-1935)"
Q936499,"Henry Maudslay","British engineer"
Q93669,"Henry Chetwynd-Talbot, 18th Earl of Shrewsbury","British naval commander and Conservative politician (1803-1868)"
Q93683,"Johann Löwenthal","Hungarian chess player"
Q93688,"David Sharp","English physician and entomologist (1840–1922)"
Q937096,"John Martin","painter, engraver and illustrator (1789-1854)"
Q937439,"Frederick Henry Ambrose Scrivener","British theologian"
Q937452,"Elias Parish Alvars","English harpist and composer"
Q938021,"Howard Ferguson","British composer and musicologist"
Q938060,"Charles Wilkins","British orientalist and typographer"
Q938167,"John Twenge","English saint"
Q938285,"Arthur de Capell Brooke","British travel writer"
Q93845,"Charles Foulkes","British-Canadian general"
Q938499,"Tobias Hume","Scottish composer, gambist and soldier"
Q938919,"Richard Thomas Lowe","British botanist, ichthyologist, malacologist and cleric (1802-1874)"
Q939063,"Rutherford Alcock","British diplomat"
Q939676,"Frederick Dobson Middleton","British Army general"
Q939981,"Herbert Kenneth Airy Shaw","British biologist (1902-1985)"
Q940029,"Harold Whitlock","British athlete"
Q940191,"Edward Poynings","English soldier, administrator and diplomat (1459-1521)"
Q940276,"Wilfrid Edward Francis Jackson","Colonial Governor (1883-1971)"
Q94031,"Rudolf Kompfner","Austrian-born engineer and physicist"
Q940333,"Edgar Chadwick","association football player from England (1869-1942)"
Q940445,"Alfred Munnings","British artist (1878-1959)"
Q94054,"L. P. Davies","British writer"
Q94081,"Bob Hope","American comedian, actor, singer and dancer (1903–2003)"
Q940830,"John de Robeck","Royal Navy admiral of the fleet (1862-1928)"
Q941215,"Henry Shrapnel","British Army general"
Q941345,"Pelham Humfrey","English composer"
Q941629,"David MacMyn","Scottish rugby union player"
Q941678,"Archibald Joyce","British composer"
Q941824,"Francis Adams","Medical doctor, translator"
Q941865,"Alec McNair","Scottish footballer"
Q941953,"James Guthrie","British artist (1859-1930)"
Q941954,"Monty Bowden","English cricketer (1865-1892)"
Q941966,"R. C. Sherriff",playwright
Q942074,"Eileen Nearne","British World War II spy"
Q942125,"William MacTavish","Scottish civil servant"
Q942299,"William Mundy","British politician (1801-1877)"
Q942399,"Harry Blackstaffe","British rower"
Q942725,"Lionel Charles Hopkins","British sinologist"
Q942945,"Victor Hayward","British explorer"
Q943134,"Jack Parnell","British musician"
Q94314,"Sophie Dawes, Baronne de Feuchères","British courtesan"
Q943561,"Thomas Kirkman","British church minister and mathematician (1806–1895)"
Q943930,"Tommy Armour","Scottish-American professional golfer (1894–1968)"
Q943984,"Stratford Canning, 1st Viscount Stratford de Redcliffe","British politician (1786-1880)"
Q944531,"William Cavendish","British politician (1783-1812)"
Q944677,"Lee Stack","British Army general"
Q944943,"Doreen Montgomery","British screenwriter"
Q945121,"William Robert Woodman","co-founder of the Hermetic Order of the Golden Dawn"
Q945180,"Thomas Sheraton","British furniture designer"
Q945248,"Jack Boothway","English footballer and manager (1919-1979)"
Q945309,"Frank Watson Dyson","English astronomer and Astronomer Royal"
Q945390,"Robert Stout","New Zealand politician and surveyor (1844-1930)"
Q945432,"Alice Pickering","British tennis player"
Q945492,"Richard Bright","British pathologist (1789–1858)"
Q945539,"Charles Wyville Thomson","Scottish marine zoologist (1830-1882)"
Q94561,"Leone Sextus Tollemache","British soldier"
Q945705,"Thomas Derrig","Irish politician (1897-1956)"
Q945777,"Tom Steele","Scottish stuntman and actor (1909-1990)"
Q945862,"Ralph Copeland","British astronomer"
Q945877,"Harry Vardon","British professional golfer"
Q945914,"Albert Pierrepoint","English executioner"
Q946000,"Irene Browne","British actress (1896-1965)"
Q946151,"Sir George Staunton, 1st Baronet","British botanist (1737-1801)"
Q94616,"John Middleton","British racing cyclist who competed in the 1928 Summer Olympics"
Q946340,"Ronnie Verrell",musician
Q946578,"Francis Seymour Haden","British artist"
Q946590,"Nathaniel Barnaby","British engineer"
Q946993,"Ninian Sanderson","British racing driver"
Q947133,"Henry Cranke Andrews","English botanical illustrator (1770-1830)"
Q94765,"James Wilson","Scottish businessman, economist and Liberal politician (1805-1860)"
Q94777,"Ernie Mills",cyclist
Q95134,"Terence Tiller","British poet"
Q95303,"Victor Ehrenberg","anglo-german historian and classical scholar"
Q95847,"Herbert Sutcliffe","English cricketer (1894-1978)"
Q96302,"Paula Heimann","British German-born psychiatrist & psychoanalyst"
Q96580,"Philipp Manning","German actor"
Q97782,"Joseph Jonas","politician (1845-1921)"
Q98528,"Henry Bolckow","British businessman and politician (1806-1878)"
